Date,AGR_EMPL,AGR_TOTL,CO2E_EG,CO2E_GF,CO2E_LF,CO2E_SF,CO2_BLDG,CO2_ETOT,CO2_MANF,CO2_OTHX,CO2_TRAN,DCO2_GN,DFOR_GN,EMPL_FE,EMPL_MA,FRST_RT,LCTY_UR,MCTY_TL,TOTL_KD
1992-12-31,5.53750011325,2.69722995705,2.37553376538,16.1309555974,53.0557503065,27.9591667778,18.451035049,32.9066895977,18.1252054819,2.51321460581,28.0142638622,0.28209773628,0.00550094182803,3.11250004172,6.82500004768,0.236533133265,23.056226804,28.680986335,0.28122889611
1993-12-31,5.01250004768,2.60370133822,2.37604808382,16.816073048,52.763418392,27.5322094468,18.701354509,32.8404371836,18.1944593767,2.39501117807,27.8562619494,0.303554888535,0.00610187793254,2.72499999404,6.27500008047,0.277346566221,23.0400541467,28.7339857345,11.7690286087
1994-12-31,5.28571442195,2.53963082944,2.37114195269,17.2946329443,52.6909425368,26.8968167011,17.7843326618,33.0753761076,18.3910622015,2.42512085409,28.3235965899,0.298217484021,0.0056760844167,2.79999996935,7.09999997275,0.260228358191,23.0508509751,28.8243679222,0.504963575259
1995-12-31,4.77500000596,3.05368159603,2.30812453826,18.7025458164,53.6534331764,24.3315401823,18.3232719479,32.0415600418,17.5594328184,2.47827221118,29.5909442114,0.263222449297,0.00544311526044,2.71250000596,6.27499997616,0.265390025783,23.0690320941,28.9288352376,4.89663290825
1996-12-31,4.38749995828,2.71350791148,2.36028647911,18.6487851435,53.3889915361,24.7753889892,18.7703261334,32.3534155159,16.9678969964,2.43751155495,29.4689511542,0.272764725399,0.00429437062045,2.32499997318,5.87500008941,0.253289257856,23.0718463928,29.0131364819,1.23555383427
1997-12-31,4.21250002086,2.23376728208,2.33093182182,19.816509668,54.7094236882,22.265757459,17.8996864347,32.4214758506,16.4290848389,2.51043289501,30.7230843889,0.277944053688,0.00433014932281,2.19999998808,5.7500000149,0.216692351447,23.0680128221,29.1019040121,-3.33294766421
1998-12-31,4.08750005066,2.07238827094,2.31705632263,20.2587270553,56.1634631392,20.3781627907,17.9721896021,32.3120245337,15.1372616071,2.53764069943,32.0504138822,0.281372084262,0.00289867146053,2.17499995232,5.51249992847,0.204001180178,23.0712130499,29.2037352187,3.17059256385
1999-12-31,3.72499994934,1.78940276287,2.30318020314,21.4143092498,56.5273258113,18.6100122411,17.240056971,31.9570278288,15.3307453497,2.54785424035,32.9176912967,0.279795441427,0.00310380837186,1.97499999404,5.07499998808,0.17797803756,23.0197447536,29.3033248311,2.19067522454
2000-12-31,3.9571428299,1.74631619665,2.2744209564,21.1291027905,56.6759972018,18.6790621267,17.0990739389,30.5619701727,15.4455558162,2.44570295604,34.4223801684,0.289074603603,0.0123631650435,2.04285711902,5.42857142857,0.188707996401,22.9278179181,29.3762918612,1.40091868853
2001-12-31,3.17500001192,1.6017462268,2.30066205275,22.3357585727,55.8164798264,18.5059220445,17.0682363737,31.5098361042,15.1884015758,2.43770948588,33.796091022,0.300556641314,0.00432432116163,1.6374999918,4.36250001192,0.162438541381,22.8437337295,29.3972508881,-4.68392565208
2002-12-31,3.16249996796,1.43026343137,2.28560831556,22.6542750718,56.0357478405,18.0519535322,16.9170617059,32.6067167166,14.019152738,2.44110199122,34.0215510711,0.283342626832,0.00336108725325,1.56249997765,4.4374999702,0.202180557335,22.7853661852,29.4449891341,7.99340929608
2003-12-31,3.06249998882,1.28216782821,2.30793692712,22.0261948729,56.2317501017,18.5750999532,16.9629666422,32.7904264295,13.952530923,2.38542011948,33.901385798,0.257864788516,0.00350714492688,1.62499999255,4.18749998882,0.161780926628,22.7638048153,29.5156700597,-7.64858601046
2004-12-31,2.87500000373,1.36416923989,2.28417356699,22.0251280271,56.9025499694,17.606621655,16.3778667172,31.7751571233,14.4073039841,2.48387666658,34.946019757,0.238084462331,0.00285102541998,1.42499998212,4.01249989867,0.138409496145,22.7358594464,29.5745173505,10.4193263611
2005-12-31,2.78750000894,1.0971151385,2.27405206713,21.9048047698,57.1566932704,17.4951159872,16.0985635152,31.4370905051,13.9594802146,2.56721322952,35.9409147042,0.223515062749,0.00478457477032,1.375,3.91249994934,0.131308525401,22.6807257907,29.6193466781,-11.2552734952
2006-12-31,2.67500000075,1.04583510735,2.28464678256,22.0013597949,56.1715646865,18.2760024145,15.4157335372,32.3634136696,14.0249042935,2.43832054698,35.7671919041,0.22044568236,0.00461426239594,1.30000001192,3.77499994636,0.126792281977,22.5979413878,29.6557485357,-0.846489512931
2007-12-31,2.5749999918,1.13016075594,2.26211603119,22.7733645047,55.7261818021,17.4472655524,14.9846491448,31.8028675953,13.8948417604,2.35264962315,36.9859770392,0.200593921833,0.00584360113089,1.26250000298,3.63750004768,0.134197839315,22.4958564526,29.6778121083,1.64182293358
2008-12-31,2.43750006706,1.06147997002,2.23728739531,22.8523275017,56.159168554,17.2781417842,15.4968211324,31.3383114837,13.7797791401,2.39632431147,37.0022911046,0.191834231145,0.0057615413169,1.18750001676,3.46249996498,0.130593926288,22.4305570996,29.7179646404,-4.74899522348
2009-12-31,2.32500003651,0.965865885314,2.23735098152,23.8113949928,56.662290948,16.5298396787,16.1406988674,31.9514701447,12.3432548051,2.51925365414,37.0344225335,0.211296326206,0.00471258557777,1.08750000037,3.38749997318,0.106710068774,22.4348875793,29.8112880187,2.39383029129
2010-12-31,2.20000004023,1.13027226085,2.20756280715,25.2230001933,55.138984011,16.5123396655,16.2558239837,31.8431735824,12.8312826287,2.61103835384,36.4527688935,0.207738227679,0.00476009767855,1.02500000037,3.24999998882,0.116891496303,22.4850457025,29.9460231772,5.0549258266
2011-12-31,2.63333334525,1.14006024701,2.14020758722,24.9883369951,55.6932619593,16.006777114,15.0660852284,30.9643996544,13.2116395035,2.70853139805,38.0318752178,0.184919068958,0.00406594371494,1.19999999801,3.88333326578,0.110999516376,22.5520012892,30.1118334511,-0.0912041223254
2012-12-31,2.66666662693,1.11177082683,,,,,15.3227168183,30.3862783658,13.2539909239,2.96660202058,38.0623064016,0.194000329383,0.00344463947044,1.31666667263,3.91666666667,0.0992120237275,22.6268595892,30.2756314413,5.10191999366
2013-12-31,2.86666665475,1.13722187507,,,,,,,,,,0.194083651001,0.00385111404854,1.29999999205,4.23333324989,0.103075137558,22.7004036097,30.4394452984,-8.23225215099
2014-12-31,2.84999994437,1.14022248293,,,,,,,,,,,,1.30000002186,4.21666661898,,22.7725722224,30.6068648817,12.0605415338
